Benevolence,Univer.,Self-dir,stimul,hedo,achieve,power,security,conformity,tradition,gse,label,big5
0.9,0.867,0.8,0.7,0.9,0.9,0.5,1,0.9,0.9,style,low,extra
0.8,0.933,1,0.8,0.8,1,0.8,1,0.9,1,color,low,open
0.8,0.8,0.9,0.6,0.8,0.8,0.6,0.8,0.9,0.6,color,med,neu
1,1,0.9,1,0.9,0.4,0.4,0.6,0.7,0.6,per,high,neu
0.9,0.933,0.7,0.7,1,0.9,0.8,0.9,0.7,0.8,color,low,neu
0.6,0.533,1,0.6,0.6,1,1,1,0.9,0.7,color,low,open
0.9,0.867,1,0.5,0.7,0.8,0.4,0.9,0.8,0.7,per,med,con
0.5,0.333,0.4,0.5,0.9,0.9,1,0.6,1,0.5,style,med,neu
1,0.4,0.3,0.5,1,1,0.5,0.7,0.8,0.9,style,high,open
0.9,0.867,0.6,0.5,0.9,0.4,0.3,1,0.8,0.8,per,low,extra
0.9,0.933,0.9,0.8,0.8,0.8,0.6,0.8,0.9,1,style,low,neu
0.5,0.6,0.9,0.7,0.9,0.8,0.6,1,0.5,0.5,style,med,open
0.8,0.933,0.9,0.7,0.9,0.8,0.5,1,0.9,0.9,per,high,neu
1,0.933,0.8,1,1,0.9,0.7,0.8,0.9,0.7,style,low,neu
0.7,0.733,0.6,0.6,0.8,0.3,0.4,0.6,0.4,0.7,style,med,con
0.9,0.933,0.8,0.9,1,0.9,0.3,0.9,0.9,0.9,per,med,con
0.9,0.733,1,0.7,0.8,0.7,0.8,0.7,0.5,1,per,high,open
