User_name,Open,Concen,Extra,Agree,Neurot,Open.,Self-transc,Self-enhance.,Conser.,Hedonism.
 ur63777812   ,0.21,0.34,0.94,0.22,0.36,0.61,0.41,0.12,0.5,0.21
 ur0011762   ,0.31,0.84,0.91,0,0,0.07,0.07,0.07,0.3,0.13
 ur5947074   ,0.35,0.36,0.88,0.24,0.28,0.45,0.49,0.18,0.47,0.39
 ur62113239   ,0.21,0.53,0.06,0.01,0.06,0.41,0.58,0.43,0.54,0.67
 ur64379430   ,0.37,0.84,0.95,0.15,0.07,0.27,0.25,0.25,0.35,0.62
 ur28047118   ,0.25,0.11,0.35,0.04,0.67,0.18,0.06,0.71,0.62,0.39
 ur60314327   ,0.6,0.63,0.1,0.05,0.26,0.42,0.45,0.97,0.58,0.55
 ur60035891   ,0.06,0.31,0.77,0.05,0.03,0.21,0.26,0.15,0.16,0.32
 ur52935430  ,0.56,0.2,0.01,0.03,0.37,0.31,0.32,0.97,0.55,0.88
 ur19117722  ,0.38,0.2,0.97,0.11,0.18,0.33,0.18,0.15,0.66,0.21
 ur64412390  ,0.22,0.15,0.99,0.13,0.14,0.61,0.4,0.13,0.83,0.3
 ur10919398   ,0.7,0.81,0.6,0.33,0.38,0.13,0.18,0.61,0.6,0.45
 ur10919398  ,0.7,0.81,0.6,0.33,0.38,0.13,0.18,0.61,0.6,0.45
 ur56723144  ,0.08,0.36,0.92,0.15,0.04,0.57,0.31,0.02,0.52,0.37
 ur2527893  ,0.65,0.82,0.45,0.73,0.45,0.14,0.45,0.29,0.07,0.12
 ur44174714  ,0.5,0.16,0.68,0.9,0.62,0.72,0.9,0.38,0.26,0.48
 ur27147194  ,0.49,0.61,0.84,0.36,0.15,0.49,0.2,0.18,0.64,0.29
 ur36063407  ,0.69,0.84,0.74,0.94,0.39,0.34,0.14,,0.31,0.14
 ur67752685  ,0.91,0.75,0.72,0.56,0.73,0.63,0.59,0.59,0.35,0.26
 ur65365385  ,0.14,0.15,0.16,0.23,0.43,0.67,0.58,0.26,0.47,0.65
 ur65098182  ,0.03,0.28,0.61,0.31,0.07,0.92,0.7,0.07,0.8,0.85
 ur9021307  ,0.31,0.32,0.58,0.36,0.48,0.51,0.33,0.29,0.51,0.48
 ur53076529  ,0.16,0.33,0.77,0.28,0.25,0.34,0.13,0.07,0.32,0.27
 ur69083052  ,0.76,0.72,0.85,0.71,0.52,0.7,0.43,0.32,0.51,0.13
 ur22846063  ,0.36,0.46,0.41,0.13,0.12,0.25,0.04,0.38,0.73,0.49
 ur68536496  ,0.04,0.24,0.86,0.32,0.09,0.24,0.16,0.05,0.25,0.34
 ur69162419  ,0.23,0.44,0.16,0,0.03,0.26,0.18,0.65,0.32,0.37
 ur15661873  ,0.04,0.21,0.74,0.1,0.21,0.46,0.49,0.04,0.18,0.37
 ur38668357  ,0.39,0.22,0.62,0.41,0.73,0.47,0.37,0.39,0.69,0.52
 ur64336240  ,0.26,0.21,0.31,0.27,0.27,0.41,0.09,0.12,0.35,0.4
 ur59840428  ,0.18,0.27,0.51,0.01,0.01,0.09,0.11,0.12,0.51,0.47
 ur24275591  ,0.41,0.5,0.52,0.65,0.45,0.37,0.4,0.31,0.7,0.46
 ur55787487  ,0.07,0.31,0.53,0.02,0.06,0.65,0.3,0.12,0.28,0.5
 ur46088658  ,0.26,0.25,0.46,0.09,0.25,0.32,0.17,0.59,0.87,0.46
 ur47633581  ,0.43,0.7,0.64,0.09,0.1,0.74,0.27,0.23,0.4,0.26
 ur50856298  ,0.21,0.62,0.29,0,0.03,0.33,0.47,0.43,0.33,0.35
 ur39209507  ,0.15,0.15,0.05,0.16,0.19,0.38,0.11,0.72,0.6,0.58
 ur69492100  ,0.97,0.94,0.37,0.41,0.85,0.35,0.27,0.99,0.91,0.9
 ur64352682  ,0.54,0.6,0.71,0.69,0.56,0.36,0.39,0.26,0.24,0.2
 ur56298381  ,0.24,0.12,0.07,0.02,0.31,0.5,0.29,0.9,0.87,0.68
 ur50146734  ,0.26,0.11,0.22,0.4,0.27,0.41,0,0.22,0.37,0.48
 ur69526355  ,0.02,0.15,0.54,0.23,0.06,0.79,0.42,0.19,0.94,0.88
 ur37842635  ,0.32,0.22,0.61,0.1,0.36,0.4,0.37,0.46,0.76,0.5
 ur67779856  ,0.9,0.9,0.79,0.61,0.62,,0.6,0.26,0.06,0.06
 ur38596256  ,0.72,0.27,0.98,0.63,0.97,0.98,0.96,0.39,0.27,0.21
