User_name,Open,Concen,Extra,Agree,Neurot,Open.,Self-transc,Self-enhance.,Conser.,Hedonism.
itstotallydope_,0.25,0.47,0.36,0.51,0.28,0.9,0.79,0.88,0.78,0.88
jo_habias_,0.22,0.23,0.33,0.28,0.41,0.47,0.96,0.38,0.19,0.6
joshteggert_,0.4,0.37,0.21,0.26,0.31,0.4,0.28,0.59,0.35,0.63
jtindahouse_,0.5,0.12,0.13,0.04,0.47,0.43,0.14,0.67,0.17,0.53
Karenbethyoung1_,0.03,0.82,0.77,0.52,0.69,0.84,0.47,0.96,0.74,0.82
KarenNaylor2_,0.93,0.73,0.1,0.63,0.26,0.39,0.41,0.36,0.19,0.05
laupii_,0.01,0.28,0.34,0.22,0.25,0.5,0.49,0.41,0.42,0.82
legithoodlum1_,0.13,0.19,0,0.04,0.38,0.34,0.54,0.69,0.79,0.64
Leo_Mingo_,0.17,0.66,0.02,0.19,0.48,0.88,0.63,0.65,0.8,0.75
lev_nemkin_,0.45,0.38,0.21,0.77,0.44,0.79,0.78,0.69,0.59,0.7
luccaareis_,0.08,0.22,0.35,0.28,0.28,0.45,0.18,0.37,0.18,0.43
mredman01_,0.35,0.86,0.32,0.27,0.98,0.03,0.1,0.1,0.48,0.14
Nattsvarium_,0.1,0.78,0.23,0.51,0.74,0.81,0.85,0.68,0.8,0.91
newtechwave_,0.5,0.84,0.17,0.2,0.64,0.62,0.52,0.7,0.59,0.28
OCTOGONPC_,0.43,0.94,0.19,0.2,0.92,0.49,0.38,0.69,0.75,0.43
ravindersampat_,0.43,0.22,0.35,0.28,0.27,0.47,0.18,0.38,0.17,0.42
rgbfoundry_,0.76,0.42,0.47,0.07,0.81,0.86,0.42,0.62,0.05,0.45
RgKarim_,0.14,0.26,0.41,0.26,0.18,0.46,0.25,0.35,0.25,0.65
rockman182_,0.34,0.51,0.2,0.25,0.49,0.32,0.12,0.66,0.7,0.6
shawneofthedead_,0.82,0.22,0.35,0.52,0.24,0.61,0.47,0.66,0.16,0.54
SidVicious1992_,0.55,0.25,0.21,0.68,0.35,0.74,0.86,0.33,0.6,0.79
SitaJason_,0.34,0.28,0.46,0.24,0.14,0.63,0.46,0.71,0.28,0.83
smashandnasty_,0.75,0.96,0.08,0.96,0.7,0.15,0.35,0.17,0.74,0.19
TEidissen_,0.04,0.52,0.04,0.26,0.55,0.83,0.67,0.72,0.89,0.91
thinkmaverick_,0.19,0.86,0.21,0.37,0.86,0.15,0.42,0.22,0.59,0.28
Tokher_,0.04,0.45,0.07,0.42,0.35,0.69,0.63,0.54,0.77,0.86
UnderworldROCKS_,0.47,0.22,0.3,0.31,0.04,0.33,0.2,0.68,0.49,0.57
vasanisalim_,0.09,0.82,0.03,0.76,0.72,0.01,0.41,0.17,0.88,0.13
viccten_,0.02,0.26,0.27,0.25,0.31,0.38,0.24,0.33,0.33,0.61
WeezyMoodi_,0.09,0.53,0.09,0.47,0.33,0.97,0.91,0.78,0.83,0.94
wewilsons_,0.86,0.72,0.23,0.65,0.37,0.46,0.7,0.12,0.4,0.19
ZomboJenkins_,0.44,0.55,0,0,0.67,0.29,0.38,0.79,0.84,0.62
 ur58184524   ,0.77,0.71,0.7,0.54,0.28,0.6,0.37,0.34,0.33,0.27
 ur56697455   ,0.51,0.21,0.59,0.13,0.59,0.58,0.28,0.73,0.94,0.61
 ur56001925   ,0.01,0.07,0.21,0.11,0.11,0.35,0.27,0.12,0.58,0.56
 ur52451894   ,0.51,0.52,0.61,0.01,0.02,0.29,0.6,0.76,0.75,0.56
 ur25093335   ,0.41,0.52,0.13,0.17,0.12,0.16,0.16,0.37,0.22,0.45
 ur65111146   ,0.71,0.68,0.77,0.68,0.25,0.68,0.33,0.17,0.79,0.38
